Timestamp,LotID,Occupancy,Capacity
2016-10-04 07:59:00,BHMBCCMKT01,61,577
2016-10-04 08:25:00,BHMBCCMKT01,64,577
2016-10-04 08:59:00,BHMBCCMKT01,80,577
2016-10-04 09:32:00,BHMBCCMKT01,107,577
2016-10-04 09:59:00,BHMBCCMKT01,150,577
2016-10-04 10:26:00,BHMBCCMKT01,177,577
2016-10-04 10:59:00,BHMBCCMKT01,219,577
2016-10-04 11:25:00,BHMBCCMKT01,247,577
2016-10-04 11:59:00,BHMBCCMKT01,259,577
2016-10-04 12:29:00,BHMBCCMKT01,266,577
2016-10-04 13:02:00,BHMBCCMKT01,269,577
2016-10-04 13:29:00,BHMBCCMKT01,263,577
2016-10-04 14:02:00,BHMBCCMKT01,238,577
2016-10-04 14:29:00,BHMBCCMKT01,215,577
2016-10-04 14:57:00,BHMBCCMKT01,192,577
2016-10-04 15:30:00,BHMBCCMKT01,165,577
2016-10-04 16:04:00,BHMBCCMKT01,162,577
2016-10-04 16:31:00,BHMBCCMKT01,143,577
2016-10-05 07:57:00,BHMBCCMKT01,54,577
2016-10-05 08:30:00,BHMBCCMKT01,59,577
2016-10-05 09:04:00,BHMBCCMKT01,71,577
2016-10-05 09:30:00,BHMBCCMKT01,83,577
2016-10-05 10:04:00,BHMBCCMKT01,114,577
2016-10-05 10:30:00,BHMBCCMKT01,128,577
2016-10-05 11:04:00,BHMBCCMKT01,148,577
2016-10-05 11:30:00,BHMBCCMKT01,162,577
2016-10-05 12:04:00,BHMBCCMKT01,178,577
2016-10-05 12:30:00,BHMBCCMKT01,183,577
2016-10-05 12:57:00,BHMBCCMKT01,175,577
2016-10-05 13:30:00,BHMBCCMKT01,179,577
2016-10-05 13:57:00,BHMBCCMKT01,174,577
2016-10-05 14:30:00,BHMBCCMKT01,158,577
2016-10-05 14:57:00,BHMBCCMKT01,145,577
2016-10-05 15:30:00,BHMBCCMKT01,129,577
2016-10-05 16:04:00,BHMBCCMKT01,121,577
2016-10-05 16:30:00,BHMBCCMKT01,114,577
2016-10-06 07:57:00,BHMBCCMKT01,58,577
2016-10-06 08:30:00,BHMBCCMKT01,63,577
2016-10-06 08:57:00,BHMBCCMKT01,70,577
2016-10-06 09:30:00,BHMBCCMKT01,95,577
2016-10-06 10:03:00,BHMBCCMKT01,135,577
2016-10-06 10:30:00,BHMBCCMKT01,160,577
2016-10-06 10:57:00,BHMBCCMKT01,177,577
2016-10-06 11:30:00,BHMBCCMKT01,191,577
2016-10-06 12:04:00,BHMBCCMKT01,199,577
2016-10-06 12:30:00,BHMBCCMKT01,206,577
2016-10-06 12:57:00,BHMBCCMKT01,198,577
2016-10-06 13:30:00,BHMBCCMKT01,208,577
2016-10-06 13:57:00,BHMBCCMKT01,200,577
2016-10-06 14:30:00,BHMBCCMKT01,175,577
2016-10-06 15:04:00,BHMBCCMKT01,158,577
2016-10-06 15:31:00,BHMBCCMKT01,153,577
2016-10-06 16:04:00,BHMBCCMKT01,135,577
2016-10-06 16:30:00,BHMBCCMKT01,129,577
2016-10-07 08:03:00,BHMBCCMKT01,58,577
2016-10-07 08:30:00,BHMBCCMKT01,61,577
2016-10-07 09:04:00,BHMBCCMKT01,75,577
2016-10-07 09:30:00,BHMBCCMKT01,103,577
2016-10-07 09:57:00,BHMBCCMKT01,128,577
2016-10-07 10:30:00,BHMBCCMKT01,172,577
2016-10-07 10:57:00,BHMBCCMKT01,188,577
2016-10-07 11:30:00,BHMBCCMKT01,199,577
2016-10-07 12:03:00,BHMBCCMKT01,210,577
2016-10-07 12:30:00,BHMBCCMKT01,206,577
2016-10-07 13:04:00,BHMBCCMKT01,200,577
2016-10-07 13:30:00,BHMBCCMKT01,201,577
2016-10-07 14:03:00,BHMBCCMKT01,193,577
2016-10-07 14:30:00,BHMBCCMKT01,181,577
2016-10-07 15:04:00,BHMBCCMKT01,172,577
2016-10-07 15:30:00,BHMBCCMKT01,159,577
2016-10-07 15:57:00,BHMBCCMKT01,158,577
2016-10-07 16:30:00,BHMBCCMKT01,132,577
2016-10-08 07:57:00,BHMBCCMKT01,58,577
2016-10-08 08:30:00,BHMBCCMKT01,61,577
2016-10-08 08:57:00,BHMBCCMKT01,75,577
2016-10-08 09:30:00,BHMBCCMKT01,104,577
2016-10-08 10:04:00,BHMBCCMKT01,158,577
2016-10-08 10:30:00,BHMBCCMKT01,191,577
2016-10-08 10:57:00,BHMBCCMKT01,223,577
